run_id,timestamp,sink,target_rate,achieved_rate,rate_error_pct,max_lateness_ms,events,fleet,dataset_laps,client_config,dotnet_env,queue_full_waits
2dc32878-405f-4d3d-9d61-d4e38ad56fad,2026-09-25T05:42:12.0155424+00:00,rabbitmq,40000,39999.4,-0.001,8.38,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=false,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
496e5124-5277-4ecb-869c-93ca85417baf,2026-09-25T05:44:07.4922137+00:00,rabbitmq,40000,39999.4,-0.002,8.98,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
dd1237c9-ffb0-4452-92e8-dc0246879d45,2026-09-25T05:46:02.8719191+00:00,rabbitmq,40000,39999.5,-0.001,15.88,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=false,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
efd26556-f3e2-4d5f-a6fe-b2a8673f5160,2026-09-25T05:47:58.2794508+00:00,rabbitmq,40000,39999.4,-0.002,13.81,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
15651580-78cc-44ae-a4b4-d276aa2abf41,2026-09-25T05:49:53.5223893+00:00,rabbitmq,40000,39999.5,-0.001,8.33,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=false,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
dbca20de-08a0-4894-b347-98a00617908c,2026-09-25T05:51:48.6829668+00:00,rabbitmq,40000,39998.6,-0.004,11.73,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
00352f53-0793-46fb-91b8-7253a427eeaa,2026-09-25T05:53:44.0330997+00:00,rabbitmq,40000,39999.2,-0.002,10.52,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
ecd57652-6717-428c-a134-5c951c3dde2a,2026-09-25T05:55:39.1418607+00:00,rabbitmq,40000,39999.4,-0.002,9.54,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
6ce51314-3f73-4e66-8de9-cf48ce86fa88,2026-09-25T05:57:34.6384145+00:00,rabbitmq,40000,39998.8,-0.003,8.91,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
6b39cf5d-f6e0-4f3c-8550-258a77f0e6b9,2026-09-25T05:59:29.5881059+00:00,rabbitmq,40000,39999.0,-0.003,13.46,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
c954ab43-0200-48c3-a917-e150a4f1bb6c,2026-09-25T06:01:24.7000526+00:00,rabbitmq,40000,39999.0,-0.002,16.65,4000000,20,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
f3fcc597-3627-4554-99db-60464b9300b1,2026-09-25T06:03:19.8988870+00:00,rabbitmq,60000,59998.1,-0.003,29.19,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
86e7444c-2137-4052-ac5e-c6b7f9ddb644,2026-09-25T06:05:15.2019667+00:00,rabbitmq,60000,59998.2,-0.003,12.99,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
92014905-6725-4b9c-a200-510aaafa6650,2026-09-25T06:07:10.5066709+00:00,rabbitmq,60000,59997.9,-0.004,12.54,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
3ee768b7-1d2b-4815-9523-59e383dd3e6f,2026-09-25T06:09:05.7335167+00:00,rabbitmq,60000,59997.8,-0.004,13.24,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
90eaaa9d-dcfa-457f-b892-c28916a6466a,2026-09-25T06:11:01.0166372+00:00,rabbitmq,60000,59998.2,-0.003,12.19,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
99340e2d-6ed2-436e-acc4-aa0b29ae7037,2026-09-25T06:12:56.4499285+00:00,rabbitmq,60000,59998.2,-0.003,13.44,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
e4618625-f758-405a-9d3d-df24458f6808,2026-09-25T06:14:51.7801163+00:00,rabbitmq,60000,59998.8,-0.002,43.09,6000000,30,0,confirm_batch=1000;connection_per_lane=true;em_voo_max=8000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
b6e0e7b2-017b-46d3-8db7-dcf7de36395f,2026-09-25T06:16:47.1042164+00:00,rabbitmq,60000,59998.8,-0.002,18.85,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
693f2217-9350-4f09-a4de-99dcf5b0f4d5,2026-09-25T06:18:42.2122262+00:00,rabbitmq,60000,59998.7,-0.002,41.59,6000000,30,0,confirm_batch=1000;connection_per_lane=true;em_voo_max=8000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
81b0981d-6218-4d65-888a-8396c8078247,2026-09-25T06:20:37.9248901+00:00,rabbitmq,60000,59997.5,-0.004,12.31,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
9e6de696-b247-42d6-8e25-8a55d24e8101,2026-09-25T06:22:33.5045991+00:00,rabbitmq,60000,59998.9,-0.002,38.66,6000000,30,0,confirm_batch=1000;connection_per_lane=true;em_voo_max=8000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
74f21b4c-7f4c-4510-b757-51b7c58a4a34,2026-09-25T06:24:28.9240806+00:00,rabbitmq,60000,59998.4,-0.003,12.52,6000000,30,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
