"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","consumer_container_cpu_avg","consumer_container_mem_peak_mb","producer_cpu_avg","producer_cpu_peak","producer_mem_peak_mb","client_placement","warmup_seconds","measure_seconds","commit"
"2026-09-23T14:00:13.9167464+00:00","c8427e0d-b89a-4d3b-a7aa-18615a1b0fc0","rabbitmq-channels","4","10000","1","0","0","200000","9.984","10000.2","864.4","501","2161","10743","17567","52.1","126.5","61.0","64.4","16","2","1","144","53278","4F329CBA8BC353AF","100158","99842","0","0","9999.7","39.53","170.4","203.4","146.3","148.4","0.6","0.6","559.6","559.7","56.6","196.8","178.6","200.1","508.1","container","10","10",""
"2026-09-23T14:00:49.1204848+00:00","c3809295-8f15-4781-9990-3c4f58ec268e","rabbitmq-channels","4","40000","1","0","0","800000","9.984","40000.6","2419.4","673","13135","22207","47359","64.7","132.9","62.8","66.6","60","2","1","538","212970","1F66C38D7E5D1953","400616","399384","0","0","39997.3","48.11","207.2","253.8","169.1","181.0","0.7","0.7","559.4","559.5","68.0","198.6","175.9","198.9","512.7","container","10","10",""
"2026-09-23T14:01:24.2121882+00:00","97fb76ec-bbba-4278-949a-669e274132eb","rabbitmq-channels","4","60000","1","0","0","1200000","9.985","60001.5","3941.1","1119","17871","28271","42015","81.6","177.6","63.5","67.9","89","3","1","802","319525","98F8A073C2F16443","600876","599124","0","0","59997.1","43.88","240.1","290.6","206.3","260.6","0.6","0.6","559.9","560.2","87.3","201.2","173.6","197.3","519.3","container","10","10",""
"2026-09-23T14:01:59.5171179+00:00","cc9ec247-a355-47b2-8923-5cc824f9dce0","rabbitmq-channels","4","80000","1","0","0","1600000","9.986","80064.8","8284.7","3063","29823","60383","94079","96.9","225.1","65.3","71.1","119","2","2","1069","426063","BBA95C6573503D37","800466","799534","0","0","79989.8","165.29","260.1","326.1","188.8","191.8","0.6","0.6","559.3","559.4","100.5","206.3","140.8","148.5","523.0","container","10","10",""
