run_id,timestamp,sink,target_rate,achieved_rate,rate_error_pct,max_lateness_ms,events,fleet,dataset_laps,client_config,dotnet_env,queue_full_waits
39551fed-2238-4351-b44a-bd9d49f5c6a2,2026-09-24T20:56:38.7948588+00:00,rabbitmq,20000,19998.2,-0.009,11.17,600000,10,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
e9e0f98b-57e4-4d40-85e0-8f9e8711d08a,2026-09-24T20:57:25.4764185+00:00,rabbitmq,20000,19999.1,-0.005,9.15,600000,10,0,confirm_batch=12500;connection_per_lane=true;em_voo_max=100000;lane_hash=crc32;partitions=4;persistent=true,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,
e888b5cd-08ff-495b-b96d-abc138ed3ad0,2026-09-24T20:58:31.0872005+00:00,kafka,40000,39997.9,-0.005,8.54,1200000,20,0,acks=-1;compression.type=none;enable.idempotence=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
6912b7e0-c917-4aa0-8b01-23fc97c3b4d7,2026-09-24T20:59:20.7775474+00:00,kafka,20000,19998.9,-0.006,4.75,600000,10,0,acks=-1;batch.size=65536;compression.type=none;enable.idempotence=False;linger.ms=5;queue.buffering.max.messages=1000000;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
