timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped,client_config,dotnet_env,incomplete_records
2026-09-25T05:04:10.6686462+00:00,18773e4f-07e3-4afe-bace-e9e8837d99e0,kafka-direct,4,20000,1,0,1,2000000,89.926,20000.5,3083.8,3077,5427,5807,31679,11.9,58.0,95.5,103.4,193,10,1,1733,20200,753D621FEF0B2E3E,201429,1798571,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:06:10.2458286+00:00,a8ba922d-6634-48ac-bbb9-15707b196e2b,kafka-direct,4,20000,1,0,1,2000000,89.943,20000.8,3026.0,3027,5375,5719,14655,11.4,53.1,96.8,103.6,193,10,1,1733,20200,753D621FEF0B2E3E,201065,1798935,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=True,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:08:09.7262998+00:00,61b159d6-2bae-404c-b545-53ac87e87f6a,kafka-direct,4,20000,2,0,1,2000000,89.945,20000.7,3027.6,3027,5375,5687,14471,11.3,50.6,96.2,102.7,193,10,1,1733,20200,753D621FEF0B2E3E,201035,1798965,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:10:09.1736247+00:00,6d4cf040-eb37-4e19-8fc8-90b96f38a08b,kafka-direct,4,20000,2,0,1,2000000,89.947,20000.8,3455.3,3037,5395,6027,224127,11.4,46.1,97.3,104.5,193,10,1,1733,20200,753D621FEF0B2E3E,200988,1799012,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=True,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:12:08.9685576+00:00,1d211da4-b7ad-4039-89fc-911a3a26ca65,kafka-direct,4,20000,3,0,1,2000000,89.944,20000.6,3507.5,3041,5399,6531,200063,11.3,59.1,97.5,104.9,193,10,1,1733,20200,753D621FEF0B2E3E,201064,1798936,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:14:08.6030936+00:00,785f1eb3-4eee-49bd-bdba-07e5e4c37cd1,kafka-direct,4,20000,3,0,1,2000000,89.946,20000.8,3074.7,3007,5359,5739,92671,11.4,60.0,97.6,104.3,193,10,1,1733,20200,753D621FEF0B2E3E,201011,1798989,20200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=True,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:16:08.0656012+00:00,8f2222fe-e92f-498c-bd9c-1300ae94515e,kafka-direct,4,100000,1,0,1,10000000,89.946,100001.4,18080.4,3117,5387,740351,1573887,22.9,92.1,101.0,103.8,957,10,1,8579,101000,53B11B22EC958D40,1005249,8994751,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:18:07.8057437+00:00,7272edb9-c999-4901-bb47-a64cd2b2c064,kafka-direct,4,100000,1,0,1,10000000,89.945,100002.7,3524.9,3061,5279,5787,272383,23.4,100.6,103.2,105.8,957,10,1,8579,101000,53B11B22EC958D40,1005270,8994730,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=True,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:20:06.9857124+00:00,b922336d-8712-4de3-ac19-5874200d9de0,kafka-direct,4,100000,2,0,1,10000000,89.945,100002.5,3354.3,3061,5275,5683,217599,23.2,89.2,104.9,109.5,958,10,1,8581,101000,53B11B22EC958D40,1005282,8994718,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T05:22:06.6803397+00:00,c1f6e335-d330-4991-9817-870d31061c8b,kafka-direct,4,100000,2,0,1,10000000,89.945,100002.6,3506.4,3039,5259,5683,243839,22.7,69.1,102.0,106.5,957,10,1,8578,101000,53B11B22EC958D40,1005231,8994769,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;socket.nagle.disable=True,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
