"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","consumer_container_cpu_avg","consumer_container_mem_peak_mb","producer_cpu_avg","producer_cpu_peak","producer_mem_peak_mb","lane_hash","sample_hz","cpu_protocol","window_start_s","broker_cpu_mode","broker_throttled_pct","consumer_throttled_pct","producer_throttled_pct","client_placement","warmup_seconds","measure_seconds","commit"
"2026-09-24T15:13:01.8201958+00:00","d91fd6a4-f13f-4280-8f98-3f70ff28fa61","rabbitmq-direct","4","20000","1","0","1","800000","29.985","20000.3","942.3","599","2909","5399","17903","90.9","177.9","82.5","85.5","61","5","1","554","8200","C3A002F1BBCD9361","200292","599708","8200","0","19999.1","11.85","305.1","319.3","125.7","178.6","0.5","0.8","342.9","343.1","95.2","317.1","223.3","237.2","992.0","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:13:57.7634469+00:00","035d81b0-7ac6-4f88-936c-c7996a819f19","rabbitmq-direct","4","30000","1","0","1","1200000","29.988","29998.3","1277.9","792","3943","7079","23839","88.3","163.2","83.8","92.2","90","4","1","804","12300","708C952BDF9ADE29","300409","899591","12300","0","29997.8","8.12","310.1","331.4","117.6","119.9","0.7","0.8","342.8","343.0","94.1","301.4","288.2","310.0","826.1","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:14:53.2280971+00:00","02f9c194-0b96-432e-a169-d8802e097b2b","rabbitmq-direct","4","40000","1","0","1","1600000","29.987","40017.1","2229.9","1317","6339","13295","83967","83.9","182.5","83.3","90.2","117","5","1","1054","16400","08F70762DF6F3EED","400004","1199996","16400","0","39997.0","18.93","313.6","334.9","128.5","133.9","0.7","1.0","342.9","343.1","90.0","300.7","288.5","307.0","699.4","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:15:48.6635348+00:00","5ecd31f5-4a17-4ec1-ab72-d099171ae663","rabbitmq-direct","4","50000","1","0","1","2000000","29.989","49996.4","2819.9","1800","7235","18079","73663","83.4","162.1","84.0","91.3","146","5","1","1309","20500","029F1EF4FEE83D12","500655","1499345","20500","0","49993.1","32.44","307.3","327.5","136.7","146.0","0.7","0.9","343.0","343.2","88.2","287.6","284.0","310.7","569.7","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:16:44.1428804+00:00","3f9b8acc-aa19-450b-8bee-41c5ea73287a","rabbitmq-direct","4","60000","1","0","1","2400000","29.986","60001.5","4365.8","2683","10679","41279","101887","89.9","173.9","84.7","92.0","174","5","1","1562","24600","0CBBFB79E9A74455","600806","1799194","24600","0","59996.9","18.65","307.2","333.2","136.5","138.7","0.7","1.1","343.0","343.4","96.1","276.6","265.3","310.6","439.6","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:17:39.5959302+00:00","57fb7afc-1b4f-45aa-ba39-c34830df1dd7","rabbitmq-direct","4","80000","1","0","1","3200000","29.988","79996.3","12089.0","5699","52223","136319","228991","101.6","175.1","85.1","90.4","232","5","1","2075","32800","C721D41968A35A34","801031","2398969","32800","0","79987.3","59.76","323.0","356.7","170.3","263.9","0.8","1.2","342.9","343.3","107.2","252.4","291.7","314.1","381.0","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:18:35.1052168+00:00","96e6b077-6a73-4880-a77e-d57009cd1823","rabbitmq-channels","4","20000","1","0","1","800000","29.984","20000.1","1012.9","621","3285","5931","16447","93.9","161.3","82.2","85.2","62","4","1","554","8200","C3A002F1BBCD9361","200321","599679","8200","0","19999.5","10.48","258.1","312.6","137.8","186.7","0.5","0.6","342.9","342.9","95.6","250.3","217.7","239.5","480.1","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:19:31.0342332+00:00","276521ac-6915-4203-a6d2-4960f2df4119","rabbitmq-channels","4","30000","1","0","1","1200000","29.983","30000.3","1381.1","830","4395","7411","20335","92.7","166.5","83.6","91.8","90","4","1","805","12300","708C952BDF9ADE29","300498","899502","12300","0","29998.6","8.46","314.1","327.0","120.1","122.4","0.6","0.8","342.9","343.2","99.8","249.6","278.7","293.6","382.3","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:20:26.5837039+00:00","0d50d6b1-2070-4846-a048-c8fe5d92e67d","rabbitmq-channels","4","40000","1","0","1","1600000","29.979","40007.2","1879.6","1178","5499","9223","40639","90.1","170.2","84.5","92.3","118","5","1","1056","16400","08F70762DF6F3EED","400619","1199381","16400","0","39997.5","11.21","316.5","328.1","132.5","155.0","0.6","0.9","343.0","343.1","97.1","255.7","290.3","308.5","380.9","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
"2026-09-24T15:21:22.4923001+00:00","d705bcae-a3fb-4d3d-b5a8-0be6465ee3a9","rabbitmq-channels","4","50000","1","0","1","2000000","29.984","50000.7","2850.3","1717","7491","21375","100415","89.7","169.5","84.2","91.0","146","5","1","1311","20500","029F1EF4FEE83D12","500758","1499242","20500","0","49996.7","11.63","315.0","332.5","151.6","220.1","0.6","1.0","343.0","343.3","96.8","255.7","288.9","308.0","380.7","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","10","30","fb4b131"
