timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped,client_config,dotnet_env,incomplete_records
2026-09-24T20:56:39.1559623+00:00,39551fed-2238-4351-b44a-bd9d49f5c6a2,rabbitmq-channels,4,20000,1,0,1,600000,19.984,19999.7,1250.8,680,4011,7255,51391,88.3,165.9,82.4,86.3,46,3,1,416,6200,07990B3D85FF2AA9,200336,399664,6200,0,ack_batch=100;dispatch_concurrency=1;prefetch=sem_limite,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-24T20:57:25.6030366+00:00,e9e0f98b-57e4-4d40-85e0-8f9e8711d08a,rabbitmq-pipelines,4,20000,1,0,1,600000,19.984,20001.0,1055.6,624,3535,6019,16159,90.8,163.9,82.4,84.9,46,4,1,417,6200,07990B3D85FF2AA9,200309,399691,6200,0,ack_batch=100;dispatch_concurrency=1;prefetch=sem_limite,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-24T20:58:31.2440812+00:00,e888b5cd-08ff-495b-b96d-abc138ed3ad0,kafka-channels,4,40000,1,0,1,1200000,19.932,40007.1,3378.9,3351,5695,6851,18895,32.0,86.0,96.8,108.4,115,3,1,1038,12400,02991DD0935E67DD,402586,797414,12400,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-24T20:59:20.9784224+00:00,6912b7e0-c917-4aa0-8b01-23fc97c3b4d7,kafka-direct,4,20000,1,0,1,600000,19.944,20003.3,3068.6,3069,5411,5735,15607,12.1,35.3,94.9,99.8,58,3,1,523,6200,07990B3D85FF2AA9,201049,398951,6200,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False;fetch.wait.max.ms=10;socket.nagle.disable=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
