"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","warmup_seconds","measure_seconds","commit"
"2026-09-23T07:25:44.0098054+00:00","daacf307-bf0c-4eff-85f4-51d2d84cf36a","kafka-direct","4","20000","4","0","1","2000000","89.944","20000.4","3388.0","3391","5719","6023","10959","15.9","161.1","72.2","78.7","185","10","1","1663","527750","CF55C698510651DB","201097","1798903","527750","0","19997.7","5.30","40.5","52.8","1399.7","1515.0","1.7","2.5","200.0","200.6","10","90","25fa684"
"2026-09-23T07:27:46.7554215+00:00","812f673c-0225-476b-ba0e-a4f4e77c775f","kafka-direct","4","30000","5","0","1","3000000","89.871","30011.7","21788.8","21823","38847","41215","46047","21.1","123.6","74.7","79.3","278","11","1","2490","791625","97B8934F34174460","302825","2697175","791625","0","29995.7","4.86","48.3","56.7","1403.2","1607.1","2.5","3.4","200.4","201.3","10","90","25fa684"
"2026-09-23T07:29:45.8889444+00:00","0566fdf7-87eb-4227-85bd-2ed26404a052","rabbitmq-channels","4","5000","5","0","1","500000","89.981","5000.0","814.1","746","1163","1745","40287","29.2","154.4","62.5","68.1","42","5","1","382","131929","4B1DFA8C2E5A4D13","50094","449906","131929","0","5000.0","22.34","179.6","186.6","140.7","172.4","1.0","1.6","199.5","200.0","10","90","25fa684"
"2026-09-23T07:31:48.6297382+00:00","9b69e466-0eb0-47bf-9108-1ffd65c9d7d8","kafka-channels","4","20000","1","0","1","2000000","89.919","20009.2","25298.5","25263","45375","48831","55103","24.5","105.4","75.2","79.8","186","10","1","1663","527750","CF55C698510651DB","200793","1799207","527750","0","19998.9","6.42","47.2","77.0","1391.5","1569.1","1.8","2.5","200.1","200.7","10","90","25fa684"
"2026-09-23T07:33:48.1320292+00:00","24eac94e-8a49-4aca-a0a8-b83c99043fbe","rabbitmq-channels","4","30000","4","0","1","3000000","89.978","30000.3","1985.0","1518","3981","12079","35391","45.5","186.1","64.6","69.8","225","11","1","2016","791625","97B8934F34174460","300649","2699351","791625","0","29999.7","32.64","228.9","240.5","155.6","197.0","3.4","4.7","200.5","201.3","10","90","25fa684"
"2026-09-23T07:35:47.5944607+00:00","66c9aeaf-af20-43b7-89e7-7fb846245e4a","rabbitmq-direct","4","5000","3","0","1","500000","89.981","5000.0","804.7","740","1151","1681","37951","25.8","111.3","62.6","68.3","42","5","1","382","131929","4B1DFA8C2E5A4D13","50095","449905","131929","0","5000.0","23.83","176.5","185.9","141.2","144.9","1.0","1.5","199.8","200.2","10","90","25fa684"
"2026-09-23T07:37:46.7484844+00:00","11ba945b-5a1f-4ef3-b53c-75e4ee679123","rabbitmq-pipelines","4","10000","5","0","1","1000000","89.980","10000.0","946.6","830","1382","2425","101055","31.2","155.4","63.4","68.9","78","8","1","704","263875","0E72CBF60A5BBB63","100202","899798","263875","0","9999.9","22.56","193.9","203.3","141.7","207.4","1.4","2.3","200.1","200.6","10","90","25fa684"
"2026-09-23T07:39:46.2653130+00:00","ab3e2fae-d673-4f57-a5d4-740f86bfff2f","rabbitmq-channels","4","5000","2","0","1","500000","89.975","5000.0","817.4","745","1163","1707","43679","30.0","148.1","62.7","68.2","42","5","1","382","131929","4B1DFA8C2E5A4D13","50124","449876","131929","0","5000.0","22.82","180.2","186.1","138.4","143.2","1.0","2.0","199.7","200.2","10","90","25fa684"
"2026-09-23T07:41:45.3692260+00:00","1c91c9ac-fe93-4436-8de3-24e279af1838","rabbitmq-pipelines","4","20000","5","0","1","2000000","89.981","20000.3","1274.0","1045","2169","5767","39583","34.3","148.6","64.0","69.5","152","12","2","1357","527750","CF55C698510651DB","200349","1799651","527750","0","19999.8","34.32","210.8","227.7","143.7","218.7","2.3","2.9","200.4","201.7","10","90","25fa684"
"2026-09-23T07:43:48.0199349+00:00","4623fa3a-e070-4c97-a16f-8966857a95ef","kafka-pipelines","4","20000","5","0","1","2000000","89.940","20000.9","3391.1","3391","5723","6019","10535","27.2","179.6","73.4","79.3","186","10","1","1663","527750","CF55C698510651DB","201122","1798878","527750","0","19999.7","4.90","47.0","54.7","1383.7","1454.2","1.9","2.5","200.2","201.1","10","90","25fa684"
