"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","client_config","dotnet_env","incomplete_records","producer_achieved_rate","producer_jitter_ms","producer_config","producer_dotnet_env","producer_queue_full_waits","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","consumer_container_cpu_avg","consumer_container_mem_peak_mb","producer_cpu_avg","producer_cpu_peak","producer_mem_peak_mb","lane_hash","sample_hz","cpu_protocol","window_start_s","broker_cpu_mode","broker_throttled_pct","consumer_throttled_pct","producer_throttled_pct","client_placement","profile","extra_args","warmup_seconds","measure_seconds","commit","lado","exclusao"
"2026-09-25T19:12:10.2375637+00:00","6ba27255-bf66-47ba-86c4-5255e5518f73","kafka-direct","4","200000","1","0","1","20000000","89.976","200005.9","3126.2","3125","5259","5539","15279","36.4","89.2","103.7","108.6","1917","10","1","17170","202000","D32C8EDE2EB8DCB8","2004335","17995665","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.8","4.68","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","45.9","74.6","1147.2","1328.6","0.9","2.1","346.7","351.7","35.5","229.1","113.8","121.9","787.3","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","direct-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:14:10.0676192+00:00","7b662936-0f74-44cb-8990-d6d65c53e130","kafka-channels","4","200000","1","0","1","20000000","89.969","200004.1","3198.3","3173","5291","5687","50111","99.1","133.1","105.0","113.7","1917","10","1","17169","202000","D32C8EDE2EB8DCB8","2005838","17994162","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.5","5.47","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","47.5","72.3","1147.3","1311.6","1.1","2.4","346.5","347.3","96.3","235.5","114.9","121.7","787.9","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","channels-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:16:09.9834716+00:00","9156dcee-ce88-4a1b-8f02-f86b91577dbe","kafka-direct","4","200000","2","0","1","20000000","89.964","200006.1","3481.2","3127","5271","5907","205439","35.8","101.0","106.2","112.4","1917","10","1","17169","202000","D32C8EDE2EB8DCB8","2006619","17993381","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.3","10.13","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","46.6","62.4","1167.6","1319.7","1.0","1.6","346.7","347.3","32.0","242.0","111.3","122.1","804.8","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","direct-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:18:10.2772211+00:00","4384a149-28a1-4793-8f0d-72c014c30138","kafka-channels","4","200000","2","0","1","20000000","89.964","200007.2","3747.1","3233","5359","6803","225023","93.9","145.4","105.5","111.6","1918","10","1","17173","202000","D32C8EDE2EB8DCB8","2006452","17993548","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.8","14.29","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","44.8","69.3","1164.3","1307.1","1.0","1.9","346.5","346.9","94.1","240.8","114.1","121.6","800.8","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","channels-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:20:10.3927987+00:00","1852b0c5-feed-4ecc-9fdb-c28709f527ec","kafka-direct","4","200000","3","0","1","20000000","89.967","200006.9","3109.1","3105","5243","5471","20063","36.2","86.6","103.2","108.4","1917","10","1","17170","202000","D32C8EDE2EB8DCB8","2006073","17993927","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.8","5.46","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","47.2","71.0","1175.4","1339.4","1.0","1.5","346.4","347.1","35.2","239.5","105.8","122.1","805.8","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","direct-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:22:09.9000413+00:00","efcb63c1-01f3-46ec-8ec1-b056a0328107","kafka-channels","4","200000","3","0","1","20000000","89.969","200003.4","3190.8","3179","5291","5627","30159","100.1","140.4","104.5","108.6","1918","10","1","17175","202000","D32C8EDE2EB8DCB8","2005890","17994110","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199977.3","5.21","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","50.6","73.1","1169.9","1338.5","1.1","1.7","346.7","347.3","95.4","238.4","104.4","121.2","804.9","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","channels-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:24:09.7989191+00:00","a888e88b-3120-4b27-b524-5f873f4c61c2","kafka-direct","4","200000","4","0","1","20000000","89.963","200004.9","3113.9","3111","5247","5503","17839","35.4","87.6","104.2","109.2","1917","10","1","17169","202000","D32C8EDE2EB8DCB8","2006867","17993133","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.7","5.42","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","47.4","62.1","1178.0","1325.3","1.0","1.6","346.5","347.1","34.6","228.5","115.2","122.1","800.7","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","direct-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:26:10.4163192+00:00","6adc6831-fb85-42de-8b7a-8387a852611e","kafka-channels","4","200000","4","0","1","20000000","89.972","200006.7","3867.6","3287","5427","10703","210431","92.4","150.1","105.0","114.0","1918","10","1","17175","202000","D32C8EDE2EB8DCB8","2004930","17995070","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199977.2","14.64","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","50.7","79.5","1183.2","1327.8","1.1","1.6","346.6","347.4","86.9","227.8","111.5","122.7","806.0","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","channels-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:28:11.8683201+00:00","6e2f8957-6edb-4a83-bce5-cc31f58bd897","kafka-direct","4","200000","5","0","1","20000000","89.966","200007.1","7594.5","3185","5339","25951","931327","37.3","117.8","104.7","110.1","1918","10","1","17172","202000","D32C8EDE2EB8DCB8","2006199","17993801","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199976.8","433.24","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","6","52.0","63.3","1203.3","1347.3","1.1","1.7","346.6","347.1","38.6","233.7","119.3","124.4","806.7","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","direct-exclusao-imediata","exclusao-imediata"
"2026-09-25T19:30:11.6178950+00:00","a222433e-dd52-4892-a8a0-3cba7a2f3339","kafka-channels","4","200000","5","0","1","20000000","89.967","200004.0","3192.8","3179","5291","5643","35967","101.1","139.6","105.0","109.3","1917","10","1","17172","202000","D32C8EDE2EB8DCB8","2006152","17993848","202000","0","auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","199996.8","4.90","acks=-1;compression.type=none;enable.idempotence=False","DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12","0","49.5","55.6","1208.7","1400.0","1.1","2.1","346.8","347.4","103.3","236.7","119.0","121.9","730.3","crc32","100","cpuset produtor 0-3, broker 4-7, consumidor 8-10, infra 11","600","cpus:4-7","0.00","0.00","0.00","container","padrao","","10","90","d4c2e49","channels-exclusao-imediata","exclusao-imediata"
